subjectname,subjectcode,creditHour,Semester,collegename,programname,levelname
Global Marketing Management,MKT547,4,4,Central Campus of Management ,Master of Business Studies,Master
Service Marketing,MKT548,4,4,Central Campus of Management ,Master of Business Studies,Master
Effective Management,MGMT111,3,1,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Financial Accounting,MGMT112,3,1,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Basic Mathematics,MGMT113,3,1,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Micro Economics,MGMT114,3,1,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Computers in Management,MGMT115,3,1,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Microsoft Office (Practical),MGMT116,3,1,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Business Communication I,MGMT117,2,1,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Business Communication II,MGMT121,3,2,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Business Statistics I,MGMT122,3,2,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Financial Management I,MGMT123,3,2,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Marketing Management,MGMT124,3,2,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Macro Economics,MGMT125,3,2,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Learning From Business Leaders,MGMT126,2,2,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Business Law,MGMT131,3,3,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Human Resource Management,MGMT132,3,3,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Cost Accounting,MGMT133,3,3,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Tourism and Hospitality Management,MGMT134,3,3,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Financial Management II,MGMT135,3,3,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Pay Per Click Advertising,MGMT136,2,3,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Business Networking,MGMT137,1,3,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Organizational Behavior,MGMT141,3,4,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Business Statistics II,MGMT142,3,4,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Business Ethics,MGMT143,3,4,Central Campus of Management ,Bachelor of Business Administration,Bachelor
ECommerce,MGMT144,2,4,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Fundamentals of Investment,MGMT145,3,4,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Field Visit,MGMT146,1,4,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Managerial Personality Development,MGMT147,1,4,Central Campus of Management ,Bachelor of Business Administration,Bachelor
International Business Environment,MGMT251,3,5,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Strategic Management,MGMT252,3,5,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Management Accounting,MGMT253,3,5,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Research Methodology,MGMT254,3,5,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Banking and Insurance Management,MGMT255,3,5,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Market Survey Report,MGMT256,2,5,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Self Help and Motivation Books,MGMT257,1,5,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Management Information System,MGMT261,2,6,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Auditing,MGMT262,3,6,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Financial Institutions and Market,MGMT263,3,6,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Project Management,MGMT264,2,6,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Taxation in Nepal,MGMT265,3,6,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Business Cycle and Financial Crisis,MGMT266,2,6,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Forex Trading,MGMT267,2,6,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Introduction to Sociology,MGMT271,3,7,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Operation Research,MGMT272,3,7,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Consumer Behavior,MGMT273,3,7,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Entrepreneurship Development,MGMT274,3,7,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Investment Climate in Nepal,MGMT275,3,7,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Workshop on Database Management System,MGMT276,1,7,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Managerial Personality Development II,MGMT277,2,7,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Entrepreneurship Practical,MGMT281,2,8,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Career Development,MGMT282,2,8,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Internship,MGMT283,3,8,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Dissertation,MGMT284,3,8,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Management: Principles & Applications,MGMT311,3,1,Central Campus of Management ,Bachelor of Business Studies,Bachelor
Communication Techniques in Business,MGMT312,3,1,Central Campus of Management ,Bachelor of Business Studies,Bachelor
Micro Economics,MGMT313,3,1,Central Campus of Management ,Bachelor of Business Studies,Bachelor
Cost Accounting,MGMT314,3,1,Central Campus of Management ,Bachelor of Business Studies,Bachelor
E Commerce,MGMT315,3,1,Central Campus of Management ,Bachelor of Business Studies,Bachelor
Business Statistics I,MGMT321,3,2,Central Campus of Management ,Bachelor of Business Studies,Bachelor
Macro Economics,MGMT322,3,2,Central Campus of Management ,Bachelor of Business Studies,Bachelor
Introduction to Finance  I,MGMT323,3,2,Central Campus of Management ,Bachelor of Business Studies,Bachelor
Computers in Management,MGMT324,3,2,Central Campus of Management ,Bachelor of Business Studies,Bachelor
Agri Business Management,MGMT325,3,2,Central Campus of Management ,Bachelor of Business Studies,Bachelor
Company Account,MGMT331,3,3,Central Campus of Management ,Bachelor of Business Studies,Bachelor
Cooperative Management,MGMT332,3,3,Central Campus of Management ,Bachelor of Business Studies,Bachelor
Business Statistics II,MGMT333,3,3,Central Campus of Management ,Bachelor of Business Studies,Bachelor
Risk and Disaster Management,MGMT334,3,3,Central Campus of Management ,Bachelor of Business Studies,Bachelor
Marketing Management,MGMT335,3,3,Central Campus of Management ,Bachelor of Business Studies,Bachelor
Introduction to Finance II,MGMT341,3,4,Central Campus of Management ,Bachelor of Business Studies,Bachelor
Human Resource Management,MGMT342,3,4,Central Campus of Management ,Bachelor of Business Studies,Bachelor
Introduction to Sociology,MGMT343,3,4,Central Campus of Management ,Bachelor of Business Studies,Bachelor
Business Law,MGMT344,3,4,Central Campus of Management ,Bachelor of Business Studies,Bachelor
NGO Management,MGMT345,3,4,Central Campus of Management ,Bachelor of Business Studies,Bachelor
Research Methodology,MGMT452,3,5,Central Campus of Management ,Bachelor of Business Studies,Bachelor
Business Environment in Nepal,MGMT453,3,5,Central Campus of Management ,Bachelor of Business Studies,Bachelor
Tourism Management,MGMT454,3,5,Central Campus of Management ,Bachelor of Business Studies,Bachelor
Production and Operation Management,MGMT455,3,5,Central Campus of Management ,Bachelor of Business Studies,Bachelor
Business Ethics,MGMT461,3,6,Central Campus of Management ,Bachelor of Business Studies,Bachelor
Organizational Behavior,MGMT462,3,6,Central Campus of Management ,Bachelor of Business Studies,Bachelor
Project Management,MGMT463,3,6,Central Campus of Management ,Bachelor of Business Studies,Bachelor
Entrepreneurship,MGMT464,3,6,Central Campus of Management ,Bachelor of Business Studies,Bachelor
Socio Banking and Micro Financing,MGMT465,3,6,Central Campus of Management ,Bachelor of Business Studies,Bachelor
Managerial Personality Development,MGMT471,3,7,Central Campus of Management ,Bachelor of Business Studies,Bachelor
International Business Environment,MGMT472,3,7,Central Campus of Management ,Bachelor of Business Studies,Bachelor
Project Report,MGMT481,6,8,Central Campus of Management ,Bachelor of Business Studies,Bachelor
Virtual Marketing,MGMT285,3,8,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Understanding Social Media,MGMT286,1,8,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Blogs for Business,MGMT287,2,8,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Business Practice for Managers,MGMT611,3,1,Central Campus of Management ,Master of Business Administration,Master
Information Systems for Managers,MGMT612,3,1,Central Campus of Management ,Master of Business Administration,Master
Critical Thinking and Analysis,MGMT613,3,1,Central Campus of Management ,Master of Business Administration,Master
Communication for Managers,MGMT614,3,1,Central Campus of Management ,Master of Business Administration,Master
Financial Accounting,MGMT615,3,1,Central Campus of Management ,Master of Business Administration,Master
Organizational Behavior & Psychology,MGMT616,3,1,Central Campus of Management ,Master of Business Administration,Master
Marketing Strategy & Management,MGMT621,3,2,Central Campus of Management ,Master of Business Administration,Master
Tot. Quality Mgmt. in Cont. Business,MGMT622,3,2,Central Campus of Management ,Master of Business Administration,Master
Managerial Economics,MGMT623,3,2,Central Campus of Management ,Master of Business Administration,Master
Financial Management,MGMT624,3,2,Central Campus of Management ,Master of Business Administration,Master
Human Resource Management,MGMT625,3,2,Central Campus of Management ,Master of Business Administration,Master
International Business Strategy,MGMT626,3,2,Central Campus of Management ,Master of Business Administration,Master
Business Policy & Strategic Mgmt.,MGMT631,3,3,Central Campus of Management ,Master of Business Administration,Master
Operation & Service Management,MGMT632,3,3,Central Campus of Management ,Master of Business Administration,Master
Business Research Methodology,MGMT633,3,3,Central Campus of Management ,Master of Business Administration,Master
Entrepreneurship & Business Formation,MGMT634,3,3,Central Campus of Management ,Master of Business Administration,Master
Quantitative Tec.for Managerial Decision,MGMT635,3,3,Central Campus of Management ,Master of Business Administration,Master
Cost and Management Account,MGMT636,3,3,Central Campus of Management ,Master of Business Administration,Master
Corporate Law,MGMT641,3,4,Central Campus of Management ,Master of Business Administration,Master
"Mgmt. of Technology, Innovation & Change",MGMT642,3,4,Central Campus of Management ,Master of Business Administration,Master
Banking and Insurance,FIN645,3,4,Central Campus of Management ,Master of Business Administration,Master
Financial Institution & Market,FIN646,3,4,Central Campus of Management ,Master of Business Administration,Master
Strategic Financial Management,FIN647,3,4,Central Campus of Management ,Master of Business Administration,Master
International Finance,FIN648,3,4,Central Campus of Management ,Master of Business Administration,Master
Security Analysis & Portfolio Mgmt.,FIN649,3,4,Central Campus of Management ,Master of Business Administration,Master
"Work force Planning, Dev. & Outsourcing",HRM645,3,4,Central Campus of Management ,Master of Business Administration,Master
"Compensation,Planning & Benefit Mgmt.",HRM646,3,4,Central Campus of Management ,Master of Business Administration,Master
"Legal, Ethical & Safety issue at work",HRM647,3,4,Central Campus of Management ,Master of Business Administration,Master
Performance Management,HRM648,3,4,Central Campus of Management ,Master of Business Administration,Master
Training and Development,HRM649,3,4,Central Campus of Management ,Master of Business Administration,Master
Brand & Advertisement Management,MKT645,3,4,Central Campus of Management ,Master of Business Administration,Master
Forgein & Transit Mgmt. in Nepal,MKT646,3,4,Central Campus of Management ,Master of Business Administration,Master
Globalization and Nepal,MKT647,3,4,Central Campus of Management ,Master of Business Administration,Master
Sales and Distribution Management,MKT648,3,4,Central Campus of Management ,Master of Business Administration,Master
Managing Service Management,MKT649,3,4,Central Campus of Management ,Master of Business Administration,Master
Management  Accounting,MGMT451,3,5,Central Campus of Management ,Bachelor of Business Studies,Bachelor
Marketing Management,MGMT335.,3,1,Central Campus of Management ,Bachelor of Business Studies,Bachelor
Internship,MGMT643,3,4,Central Campus of Management ,Master of Business Administration,Master
Graduate Research Project,MGMT644,3,4,Central Campus of Management ,Master of Business Administration,Master
E Commerce,MGMT315.,3,3,Central Campus of Management ,Bachelor of Business Studies,Bachelor
Emerging Concepts in Management,MGMT511:,3,1,Central Campus of Management ,Master of Business Studies,Master
Accounting for Managers,MGMT512:,3,1,Central Campus of Management ,Master of Business Studies,Master
Service Marketing,MKT475,3,7,Central Campus of Management ,Bachelor of Business Studies,Bachelor
Sales Management,MKT476,3,7,Central Campus of Management ,Bachelor of Business Studies,Bachelor
Financial Institutions and Markets,FIN475,3,7,Central Campus of Management ,Bachelor of Business Studies,Bachelor
Investment Analysis,FIN476,3,7,Central Campus of Management ,Bachelor of Business Studies,Bachelor
Taxation,ACC475,3,7,Central Campus of Management ,Bachelor of Business Studies,Bachelor
Accounting for Financial Institutions,ACC476,3,7,Central Campus of Management ,Bachelor of Business Studies,Bachelor
Managerial Economics,MGMT513:,3,1,Central Campus of Management ,Master of Business Studies,Master
Human Resource Management,MGMT514:,3,1,Central Campus of Management ,Master of Business Studies,Master
Statistics for Business Decisions,MGMT515:,3,1,Central Campus of Management ,Master of Business Studies,Master
Strategic Management,MGMT482,3,8,Central Campus of Management ,Bachelor of Business Studies,Bachelor
Learning from Business Leaders,MGMT483,3,8,Central Campus of Management ,Bachelor of Business Studies,Bachelor
Advertising,MKT485,3,8,Central Campus of Management ,Bachelor of Business Studies,Bachelor
Corporate Finance,FIN485,3,8,Central Campus of Management ,Bachelor of Business Studies,Bachelor
Business Accounting,ACC485,3,8,Central Campus of Management ,Bachelor of Business Studies,Bachelor
Retail Management,MKT486,3,8,Central Campus of Management ,Bachelor of Business Studies,Bachelor
Banking and Insurance,FIN486,3,8,Central Campus of Management ,Bachelor of Business Studies,Bachelor
Introduction to Auditing,ACC486,3,8,Central Campus of Management ,Bachelor of Business Studies,Bachelor
Effective Management,MGT311,3,1,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Financial Accounting,MGT312,3,1,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Basic Mathematics,MGT313,3,1,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Micro Economics,MGT314,3,1,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Computer in Management,MGT315,3,1,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Microsoft Computer ( Practical ),MGT316,3,1,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Business Communication,MGT317,2,1,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Business Communication II,MGT321,3,2,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Business Statistics I,MGT322,3,2,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Financial Management  I,MGT323,3,2,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Marketing Management,MGT324,3,2,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Macro Economics,MGT325,3,2,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Learning From Business Leaders,MGT326,2,2,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Marketing Management,MGMT521:,3,2,Central Campus of Management ,Master of Business Studies,Master
Banking and Insurance,MGMT522:,3,2,Central Campus of Management ,Master of Business Studies,Master
International Business,MGMT523:,3,2,Central Campus of Management ,Master of Business Studies,Master
Organizational Behavior,MGMT524:,3,2,Central Campus of Management ,Master of Business Studies,Master
Cost and Management Accounting,MGMT525:,3,2,Central Campus of Management ,Master of Business Studies,Master
Business Law,MGT331,3,3,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Human Resource Management,MGT332,3,3,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Cost Accounting,MGT333,3,3,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Tourism & Hospitality Management,MGT334,3,3,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Financial Management II ,MGT335,3,3,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Pay per Click Advertising ,MGT336,2,3,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Business Networking,MGT337,1,3,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Principles of Management,MGT311.,3,1,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Financial Accounting,MGT312.,3,1,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Basic Mathematics,MGT313.,3,1,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Micro Economics,MGT314.,3,1,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Computers in Management,MGT315.,3,1,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Business English,MGT316.,3,1,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Organizational Behaviour,MGT341,3,4,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Business Statistics II,MGT342,3,4,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Business Ethics,MGT343,3,4,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Ecommerce,MGT344,2,4,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Fundamentals of Investment,MGT345,3,4,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Managerial Personality Development,MGT347,1,4,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Field Visit,MGT346,1,4,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Enterpreneurship Development,MGMT531:,3,3,Central Campus of Management ,Master of Business Studies,Master
Operation Management,MGMT532:,3,3,Central Campus of Management ,Master of Business Studies,Master
Corporate & Business Law,MGMT533:,3,3,Central Campus of Management ,Master of Business Studies,Master
Business Research Method,MGMT534:,3,3,Central Campus of Management ,Master of Business Studies,Master
Financial Management,MGMT535:,3,3,Central Campus of Management ,Master of Business Studies,Master
Strategic Management,MGMT536:,3,3,Central Campus of Management ,Master of Business Studies,Master
Project Management,MGMT541:,3,4,Central Campus of Management ,Master of Business Studies,Master
Thesis,MGMT542:,10,4,Central Campus of Management ,Master of Business Studies,Master
Financial Institutions & Markets,FIN545:,3,4,Central Campus of Management ,Master of Business Studies,Master
Investment Analysis,FIN546:,3,4,Central Campus of Management ,Master of Business Studies,Master
Derivatives and Risk Management,FIN547:,3,4,Central Campus of Management ,Master of Business Studies,Master
Taxation,ACC545:,3,4,Central Campus of Management ,Master of Business Studies,Master
Advance Auditing,ACC546:,3,4,Central Campus of Management ,Master of Business Studies,Master
Accounting Theory and Practice,ACC547:,3,4,Central Campus of Management ,Master of Business Studies,Master
Training and Human Resource Development,HRM545:,3,4,Central Campus of Management ,Master of Business Studies,Master
Compensation and Performance Management,HRM546:,3,4,Central Campus of Management ,Master of Business Studies,Master
Industrial Relations and Labor Laws,HRM547:,3,4,Central Campus of Management ,Master of Business Studies,Master
"Sales,Distribution & Retail Mgmt.",MKT545:,3,4,Central Campus of Management ,Master of Business Studies,Master
Consumer Behavior,MKT546:,3,4,Central Campus of Management ,Master of Business Studies,Master
Service Marketing,MKT547:,3,4,Central Campus of Management ,Master of Business Studies,Master
International Business Environment,MGT351,3,5,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Strategic Management,MGT352,3,5,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Management Accounting,MGT353,3,5,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Research Methodology,MGT354,3,5,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Banking and Insurance Management,MGT355,3,5,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Market Survey Report,MGT356,2,5,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Self Help and Motivation Books,MGT357,1,5,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Foundations of Management,MGT511,3,1,Central Campus of Management ,Master of Business Administration,Master
Critical Thinking,MGT512,3,1,Central Campus of Management ,Master of Business Administration,Master
Communication for Managers,MGT513,3,1,Central Campus of Management ,Master of Business Administration,Master
Financial & Management  Accounting,MGT514,3,1,Central Campus of Management ,Master of Business Administration,Master
Research Methodology,MGT515,3,1,Central Campus of Management ,Master of Business Administration,Master
Quantitative Approach to Management,MGT516,3,1,Central Campus of Management ,Master of Business Administration,Master
Marketing Management,MGT521,3,2,Central Campus of Management ,Master of Business Administration,Master
Management Information Systems,MGT522,3,2,Central Campus of Management ,Master of Business Administration,Master
Managerial Economics,MGT523,3,2,Central Campus of Management ,Master of Business Administration,Master
Financial Management,MGT524,3,2,Central Campus of Management ,Master of Business Administration,Master
Human Resource Management,MGT525,3,2,Central Campus of Management ,Master of Business Administration,Master
Organizational Behavior,MGT526,3,2,Central Campus of Management ,Master of Business Administration,Master
Strategic Management,MGT531,3,3,Central Campus of Management ,Master of Business Administration,Master
Production & Operation Management,MGT532,3,3,Central Campus of Management ,Master of Business Administration,Master
Total Quality Management,MGT533,3,3,Central Campus of Management ,Master of Business Administration,Master
Entrepreneurship & Technology Management,MGT534,3,3,Central Campus of Management ,Master of Business Administration,Master
Corporate Law,MGT535,3,3,Central Campus of Management ,Master of Business Administration,Master
International Business Strategy,MGT536,3,3,Central Campus of Management ,Master of Business Administration,Master
Financial Institution & Market,MGT546,3,4,Central Campus of Management ,Master of Business Administration,Master
Strategic Financial Management,MGT547,3,4,Central Campus of Management ,Master of Business Administration,Master
Security Analysis & Portfolio Management,MGT548,3,4,Central Campus of Management ,Master of Business Administration,Master
Compensation & Benefit Management,MGT549,3,4,Central Campus of Management ,Master of Business Administration,Master
Performance Management,MGT550,3,4,Central Campus of Management ,Master of Business Administration,Master
Human Resources Development,MGT551,3,4,Central Campus of Management ,Master of Business Administration,Master
Brand Management,MGT552,3,4,Central Campus of Management ,Master of Business Administration,Master
Sales Management,MGT553,3,4,Central Campus of Management ,Master of Business Administration,Master
Service Marketing,MGT554,3,4,Central Campus of Management ,Master of Business Administration,Master
Internship,MGT555,3,4,Central Campus of Management ,Master of Business Administration,Master
Graduate Research Project,MGT556,4,4,Central Campus of Management ,Master of Business Administration,Master
Marketing Management,MGMT315.,3,1,Central Campus of Management ,Bachelor of Business Studies,Bachelor
Principles of  Management,MGMT311.,3,1,Central Campus of Management ,Bachelor of Business Studies,Bachelor
Business Communication ,MGMT312.,3,1,Central Campus of Management ,Bachelor of Business Studies,Bachelor
Cost Accounting,MGMT314.,3,1,Central Campus of Management ,Bachelor of Business Studies,Bachelor
Marketing Management,MGMT 315,3,1,Central Campus of Management ,Bachelor of Business Studies,Bachelor
Micro Economics,MGMT313.,3,1,Central Campus of Management ,Bachelor of Business Studies,Bachelor
E Commerce,MGMT335.,3,3,Central Campus of Management ,Bachelor of Business Studies,Bachelor
Introduction to Sociology,MGT371,3,7,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Operation Research,MGT372,3,7,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Consumer Behavior,MGT373,3,7,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Entrepreneurship Development,MGT374,3,7,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Investment Climate in Nepal,MGT375,3,7,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Workshop on Database Management System,MGT376,1,7,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Managerial Personality Development II,MGT377,2,7,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Strategic Management,MGT452,3,5,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Management Accounting,MGT453,3,5,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Research Methodology,MGT454,3,5,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Banking and Insurance Management,MGT455,3,5,Central Campus of Management ,Bachelor of Business Administration,Bachelor
International Business Environment,MGT451,3,5,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Entrepreneurship Practical,MGT381,2,8,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Career Development,MGT382,2,8,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Internship,MGT383,3,8,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Dissertation,MGT384,3,8,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Virtual Marketing,MGT385,3,8,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Understanding Social Media,MGT386,1,8,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Blogs for Business,MGT387,2,8,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Management Information System,MGT361,2,6,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Auditing,MGT362,3,6,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Financial Institutions and Market,MGT363,3,6,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Project Management ,MGT364,2,6,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Taxation in Nepal,MGT365,3,6,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Business Cycle and Financial Crisis,MGT366,2,6,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Forex Trading,MGT367,2,6,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Management Information System,MGT461,3,6,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Auditing,MGT462,3,6,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Entrepreneurship Development,MGT463,3,6,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Project Management,MGT464,3,6,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Introduction to Sociology,MGT465,3,6,Central Campus of Management ,Bachelor of Business Administration,Bachelor
Research Methodology,MGT515.,3,2,Central Campus of Management ,Master of Business Administration,Master
Quantitative Approach to Management,MGT515.,3,1,Central Campus of Management ,Master of Business Administration,Master
Research Methodology,MGT526.,3,2,Central Campus of Management ,Master of Business Administration,Master
Organizational Behavior,MGT535.,3,3,Central Campus of Management ,Master of Business Administration,Master
Operation Research,MGT471,3,7,Central Campus of Management ,Bachelor of Business Administration,Bachelor
